Year,SERIES,EDUCATION_LEV,Value
2017,SE_ACC_HNDWSH,ISCED11_1,40.9
2017,SE_ACC_HNDWSH,ISCED11_2,54.3
2017,SE_ACC_HNDWSH,ISCED11_3,59.1
2016,SE_ACS_H2O,ISCED11_1,76.2
2017,SE_ACS_H2O,ISCED11_1,87.5
2016,SE_ACS_H2O,ISCED11_2,82.7
2017,SE_ACS_H2O,ISCED11_2,92.2
2016,SE_ACS_H2O,ISCED11_3,87.0
2017,SE_ACS_H2O,ISCED11_3,95.3
2016,SE_ACS_SANIT,ISCED11_1,87.5
2017,SE_ACS_SANIT,ISCED11_1,90.0
2016,SE_ACS_SANIT,ISCED11_2,85.2
2017,SE_ACS_SANIT,ISCED11_2,90.7
2016,SE_ACS_SANIT,ISCED11_3,83.4
2017,SE_ACS_SANIT,ISCED11_3,99.9
